host,mu,sigma_mu,galaxy_name,trgb_app,trgb_app_anchor,tip_contrast,n_stars,n_faint,phot_source,color_lo_f606w,color_hi_f606w,color_lo_f555w,color_hi_f555w,tau,bin_width,edge_weighting,poisson_floor,scale_factor,mag_bright,mag_faint,n_boot,status
n1404,30.6647,0.0603,NGC1404,26.797,25.529,inf,1402,776,EDD,0.95,1.4,1.4,2.0,0.1,0.01,poisson,1.0,0.8,,,1000.0,ok
n1309,32.171,0.0643,NGC1309,28.122,25.348,2.22,1033,699,EDD,,,,,,,,,,,,,ok
n1365,31.2088,0.0596,NGC1365,27.359,25.547,inf,5484,3333,EDD,0.7,1.42,1.0,2.1,0.13,0.01,poisson,1.0,0.8,,,1000.0,ok
n1448,31.359,0.063,NGC1448,27.31,25.348,3.49,3024,1931,EDD,,,,,,,,,,,,,ok
n3021,31.4428,0.6983,NGC3021,27.394,25.348,3.05,1207,566,EDD,,,,,,,,,,,,,ok
n3370,31.9398,0.3147,NGC3370,27.891,25.348,2.02,628,393,EDD,,,,,,,,,,,,,ok
n4038,31.4778,0.0495,NGC4038,27.429,25.348,2.41,20909,14108,EDD,,,,,,,,,,,,,ok
n4424,30.9321,0.0868,NGC4424,26.884,25.348,6.19,6314,4376,EDD,,,,,,,,,,,,,ok
n4536,30.9549,0.1269,NGC4536,26.906,25.348,3.76,3326,2513,EDD,,,,,,,,,,,,,ok
n5584,31.1791,0.654,NGC5584,27.131,25.348,5.0,67,55,EDD,,,,,,,,,,,,,ok
n5643,30.4842,0.0836,NGC5643,26.436,25.348,4.43,4982,2765,EDD,,,,,,,,,,,,,ok
m66,30.0539,0.0478,M66,26.005,25.348,3.44,18279,10624,EDD,,,,,,,,,,,,,ok
m96,30.4312,0.0523,M96,26.433,25.399,inf,3536,2330,EDD,0.89,1.4,1.5,2.1,0.1,0.01,poisson,1.0,1.0,,,1000.0,ok
n1316,31.4582,0.0544,NGC1316,27.406,25.345,inf,3822,2277,EDD,0.81,1.5,1.6,2.1,0.1,0.01,poisson,1.0,1.0,,,1000.0,ok
n4526,30.9844,0.0474,NGC4526,26.936,25.348,6.39,12394,8885,EDD,,,,,,,,,,,,,ok
n7814,30.7932,0.0492,NGC7814,26.745,25.348,4.33,13926,10013,EDD,,,,,,,,,,,,,ok
